Rank,Fighter,Fights,Average Opponent Rating,Highest Rated Opponent
819,Sean O'Connell,7,2363,Corey Anderson (2016-12-09)
820,Abdul Razak Alhassan,5,2363,Niko Price (2018-09-08)
821,Sam Stout,20,2363,Caros Fodor (2013-02-23)
822,Eric Spicely,6,2363,Gerald Meerschaert (2017-12-01)
823,Nina Ansaroff,5,2363,Angela Hill (2017-11-11)
824,Anthony Christodoulou,2,2363,Mairbek Taisumov (2015-01-24)
825,Curt Warburton,3,2363,Joe Lauzon (2011-06-26)
826,Charlie Brenneman,11,2362,Rick Story (2011-06-26)
827,Eric Schafer,9,2362,Antonio Mendes (2009-01-17)
828,Matt Wiman,15,2362,Dennis Siver (2011-07-02)
829,Mike Wilkinson,4,2362,Niklas Backstrom (2014-10-04)
830,Anthony Perosh,12,2362,Ryan Bader (2013-12-07)
831,Markus Perez,3,2362,Eryk Anders (2017-12-09)
832,Cyrille Diabate,8,2362,Tom DeBlass (2012-04-14)
833,Mike Easton,7,2362,Ivan Menjivar (2012-07-07)
834,Drew Fickett,7,2361,Karo Parisyan (2006-12-13)
835,Teruto Ishihara,8,2361,Petr Yan (2018-06-23)
836,Julio Paulino,2,2361,Mike Pierce (2010-03-21)
837,Katlyn Chookagian,5,2361,Alexis Davis (2018-07-28)
838,Jim Alers,4,2361,Chas Skelly (2015-02-14)
839,Anthony Hamilton,10,2361,Adam Wieczorek (2017-11-19)
840,Daron Cruickshank,13,2361,Jorge Masvidal (2014-07-26)
841,Keita Nakamura,9,2360,Tom Breese (2016-02-27)
842,Diego Brandao,10,2360,Conor McGregor (2014-07-19)
843,Yuki Sasaki,1,2360,Dean Lister (2006-08-17)
844,Leandro Issa,5,2360,Ulka Sasaki (2014-12-20)
845,Gan McGee,4,2360,Pedro Rizzo (2002-09-27)
846,Leandro Silva,8,2359,Rustam Khabilov (2016-09-03)
847,George Roop,13,2359,Hatsu Hioki (2011-10-29)
848,Marvin Vettori,5,2359,Israel Adesanya (2018-04-14)
849,Li Jingliang,10,2359,Keita Nakamura (2015-09-27)
850,Guto Inocente,2,2358,Anthony Perosh (2014-11-07)
851,Rosi Sexton,2,2358,Alexis Davis (2013-06-15)
852,Pedro Nobre,1,2358,Iuri Alcantara (2013-01-19)
853,Anthony Njokuani,8,2358,Rafael dos Anjos (2012-07-11)
854,Marcus Davis,15,2358,Mike Swick (2008-06-07)
855,Weili Zhang,1,2358,Danielle Taylor (2018-08-04)
856,Gabriel Benitez,7,2358,Jason Knight (2017-12-09)
857,Phil Baroni,10,2358,Matt Lindland (2003-02-28)
858,Andre Gusmao,2,2358,Krzysztof Soszynski (2009-05-23)
859,Ruan Potts,3,2357,Soa Palelei (2014-05-10)
860,Kuniyoshi Hironaka,4,2357,Jon Fitch (2006-10-14)
861,Leigh Remedios,1,2357,Genki Sudo (2002-07-13)
862,Jorge Patino,1,2357,Pat Miletich (1999-01-08)
863,David Mitchell,5,2357,Mike Pierce (2013-07-06)
864,Mark Bocek,13,2357,Rafael dos Anjos (2012-11-17)
865,Travis Wiuff,2,2356,Vladimir Matyushenko (2002-11-22)
866,Joe Ellenberger,2,2356,James Moontasri (2014-06-28)
867,Mike Rhodes,3,2356,Erick Silva (2014-12-20)
868,Jonathan Brookins,5,2356,Charles Oliveira (2012-06-01)
869,Shayna Baszler,2,2355,Bethe Correia (2014-08-30)
870,Christian Morecraft,4,2355,Matt Mitrione (2011-06-26)
871,Merab Dvalishvili,3,2355,Ricky Simon (2018-04-21)
872,Hu Yaozong,1,2355,Cyril Asker (2017-11-25)
873,Chris Leben,22,2355,Mark Munoz (2011-11-05)
874,Byron Bloodworth,2,2355,Erik Perez (2012-12-29)
875,Tom DeBlass,2,2354,Riki Fukuda (2012-11-10)
876,Henry Briones,5,2354,Rani Yahya (2017-08-05)
877,Thiago Tavares,18,2354,Doo Ho Choi (2016-07-08)
878,Ivan Menjivar,9,2354,Urijah Faber (2013-02-23)
879,Seth Baczynski,11,2353,Mike Pierce (2012-12-15)
880,Matt Bessette,2,2353,Enrique Barzola (2018-01-20)
881,Elvis Mutapcic,3,2352,Francimar Barroso (2016-01-17)
882,Brad Imes,3,2352,Heath Herring (2007-04-07)
883,Evan Tanner,17,2351,Tito Ortiz (2001-02-23)
884,Oleg Taktarov,9,2351,Ken Shamrock (1995-09-08)
885,Francimar Barroso,9,2351,Nikita Krylov (2016-05-08)
886,Mark Godbeer,4,2350,Walt Harris (2017-11-04)
887,Artem Lobov,6,2350,Cub Swanson (2017-04-22)
888,Chris Lytle,20,2350,Matt Hughes (2007-03-03)
889,Lewis Gonzalez,1,2350,Leandro Silva (2015-06-27)
890,Alex Caceres,19,2350,Urijah Faber (2014-07-05)
891,Manvel Gamburyan,15,2350,John Dodson (2016-04-16)
892,Angela Hill,8,2350,Tecia Torres (2015-06-13)
893,Elias Silverio,5,2349,Rashid Magomedov (2014-12-20)
894,Taylor Lapilus,4,2349,Ulka Sasaki (2015-06-20)
895,Kyoji Horiguchi,8,2349,Demetrious Johnson (2015-04-25)
896,Magomed Bibulatov,2,2349,John Moraga (2017-10-07)
897,Thibault Gouti,5,2348,Chad Laprise (2016-08-27)
898,Marcus Brimage,8,2348,Jimmie Rivera (2015-07-18)
899,Shane Roller,6,2348,Melvin Guillard (2011-07-02)
900,Bobby Voelker,4,2348,Robbie Lawler (2013-07-27)
901,Mario Miranda,4,2348,Demian Maia (2010-08-28)
902,Ryan Benoit,6,2348,Sergio Pettis (2015-03-14)
903,Denis Kang,3,2348,Michael Bisping (2009-11-14)
904,Denis Stojnic,2,2348,Cain Velasquez (2009-02-07)
905,Lucas Martins,7,2347,Mirsad Bektic (2015-05-30)
906,Bethe Correia,8,2347,Ronda Rousey (2015-08-01)
