Rank,Fighter,Fights,Average Opponent Rating,Highest Rated Opponent
1748,Wu Yanan,1,2176,Gina Mazany (2017-11-25)
1749,Nadia Kassem,1,2175,Alex Chambers (2017-11-19)
1750,Vik Grujic,4,2175,Nordine Taleb (2014-04-16)
1751,Mark Kerr,4,2175,Dwayne Cason (1997-10-17)
1752,Paul Georgieff,1,2174,Jonathan Goulet (2007-12-08)
1753,Ricardo Abreu,2,2174,Wagner Silva (2014-05-31)
1754,Ebenezer Fontes Braga,1,2174,Jeremy Horn (1998-10-16)
1755,Matt Van Buren,2,2174,Corey Anderson (2014-07-06)
1756,Danny Abbadi,2,2174,Kalib Starnes (2006-06-24)
1757,Chris Brennan,3,2173,Courtney Turner (1998-03-13)
1758,John Campetella,1,2172,Gary Goodridge (1996-07-12)
1759,Romie Aram,1,2172,Dave Strasser (2003-04-25)
1760,Wes Combs,2,2172,Mike Nickels (2006-06-24)
1761,Ron Waterman,4,2172,Chris Condo (1999-05-07)
1762,Chris De La Rocha,3,2171,Adam Milstead (2016-05-29)
1763,Justin Lawrence,3,2170,Max Holloway (2012-08-11)
1764,Alex Andrade,1,2170,Amaury Bitetti (2000-06-09)
1765,Solomon Hutcherson,1,2170,Luigi Fioravanti (2006-06-24)
1766,Jorge Gurgel,7,2169,Mark Hominick (2006-06-28)
1767,David Dodd,2,2168,Tyrone Roberts (2000-06-09)
1768,Tony Petarra,1,2167,Wanderlei Silva (1999-05-07)
1769,Satoshi Honma,1,2165,Ron Waterman (2000-04-14)
1770,Leonardo Morales,2,2164,Yair Rodriguez (2014-11-15)
1771,Walel Watson,4,2163,Yves Jabouin (2011-12-10)
1772,Mike Jackson,2,2162,Mickey Gall (2016-02-06)
1773,Ray Wizard,1,2161,Patrick Smith (1994-03-11)
1774,Kristian Rothaermel,1,2161,Rob MacDonald (2006-06-28)
1775,LaVerne Clark,5,2160,Koji Oishi (2000-04-14)
1776,Ryan Spann,1,2159,Luis Henrique (2018-09-22)
1777,Per Eklund,3,2159,Evan Dunham (2009-02-21)
1778,Clay Harvison,3,2159,Justin Edwards (2011-06-04)
1779,Ivan Serati,1,2157,Tomasz Drwal (2009-01-17)
1780,Aaron Phillips,2,2156,Sam Sicilia (2014-05-24)
1781,Daniel Jolly,2,2156,Misha Cirkunov (2015-08-23)
1782,Chris Price,2,2153,Kendall Grove (2006-10-10)
1783,Alberto Uda,2,2153,Marvin Vettori (2016-08-20)
1784,Richie Vaculik,4,2152,Louis Smolka (2014-11-07)
1785,Jack Nilson,2,2150,Saeed Hosseini (1997-05-30)
1786,Sam Fulton,2,2150,Alex Hunter (1997-07-27)
1787,Zane Frazier,2,2150,Kevin Rosier (1993-11-12)
1788,Mark Holst,2,2149,Paul Sass (2010-10-16)
1789,Darrill Schoonover,1,2149,James McSweeney (2009-12-05)
1790,Steve Judson,2,2149,Tedd Williams (2000-03-10)
1791,Abdul-Kerim Edilov,1,2149,Bojan Mihajlovic (2017-09-02)
1792,Ron Faircloth,1,2148,Alessio Sakara (2005-10-07)
1793,Johnny Rees,2,2146,Nate Loughran (2008-07-19)
1794,Diego Saraiva,3,2146,Jorge Gurgel (2007-07-07)
1795,Rick Davis,1,2146,Melvin Guillard (2006-05-27)
1796,Eddie Mendez,1,2144,Daniel Sarafian (2013-06-08)
1797,James Lee,1,2142,Alessio Sakara (2008-01-19)
1798,Jeff Newton,1,2142,Sam Hoger (2005-11-19)
1799,CJ Fernandes,1,2141,Brad Gumm (2000-09-22)
1800,Xiaonan Yan,2,2140,Viviane Pereira (2018-06-23)
1801,Jamie Moyle,3,2139,Viviane Pereira (2017-06-03)
1802,Maciej Jewtuszko,1,2138,Curt Warburton (2011-02-27)
1803,Corey Hill,3,2137,Justin Buchholz (2008-07-05)
1804,Alex Hunter,2,2136,Harry Moskowitz (1997-10-17)
1805,Colin Fletcher,2,2136,Norman Parke (2012-12-15)
1806,Roldan Sangcha-an,2,2133,Richie Vaculik (2014-06-28)
1807,Yoislandy Izquierdo,2,2132,Reza Madadi (2012-04-14)
1808,Ariel Beck,1,2131,Shana Dobson (2017-12-01)
1809,Donny Walker,2,2130,Ken Stone (2011-09-17)
1810,Tom Speer,2,2129,Anthony Johnson (2008-04-02)
1811,Dieuseul Berto,1,2128,Geza Kalman (1996-07-12)
1812,Brian Geraghty,1,2128,Matt Wiman (2007-06-23)
1813,Jesse Taylor,2,2122,Dhiego Lima (2017-07-07)
1814,Cesar Arzamendia,2,2117,Polo Reyes (2015-11-21)
1815,Ben Wall,2,2115,Alex Garcia (2013-12-07)
1816,Yuri Vaulin,1,2114,Joe Moreira (1997-07-27)
1817,Hayder Hassan,2,2114,Kamaru Usman (2015-07-12)
1818,Karine Gevorgyan,1,2112,Rachael Ostovich (2017-12-01)
1819,Guilherme Vasconcelos,1,2102,Luke Zachrich (2014-07-05)
1820,Emily Kagan,2,2102,Angela Hill (2014-12-12)
1821,Fredson Paixão,1,2100,Pablo Garza (2010-12-04)
1822,He-Man Ali Gipson,1,2100,Anthony Macias (1995-07-14)
1823,Nate Schroeder,1,2100,Ian Freeman (2000-06-09)
1824,Sean Alvarez,1,2100,Wesley Correira (2003-04-25)
1825,Chris Liguori,1,2088,Keith Rockel (2003-11-21)
1826,Pat Schilling,2,2086,Max Holloway (2012-06-01)
1827,Livia Renata Souza,1,2082,Alex Chambers (2018-09-22)
1828,Tyrone Roberts,1,2082,David Dodd (2000-06-09)
1829,Steve Steinbeiss,2,2081,Rob Kimmons (2010-08-01)
1830,Saeed Hosseini,1,2072,Jack Nilson (1997-05-30)
1831,Tom Blackledge,1,2062,Anthony Perosh (2011-02-27)
1832,Joao Marcos Pierini,1,2052,Yves Edwards (2002-06-22)
1833,Nandor Guelmino,1,2033,Daniel Omielanczuk (2013-09-21)
1834,Cameron Dollar,1,1992,Jason Dent (2009-06-20)
